,datetimes,events
0,2024-03-25 14.24.07.196,START
1,2024-03-25 14.24.12.195,STANDARD
2,2024-03-25 14.24.13.213,TARGET
3,2024-03-25 14.24.14.738,STANDARD
4,2024-03-25 14.24.16.257,STANDARD
5,2024-03-25 14.24.17.784,STANDARD
6,2024-03-25 14.24.19.305,STANDARD
7,2024-03-25 14.24.20.834,STANDARD
8,2024-03-25 14.24.22.356,STANDARD
9,2024-03-25 14.24.23.879,TARGET
10,2024-03-25 14.24.25.385,STANDARD
11,2024-03-25 14.24.26.909,STANDARD
12,2024-03-25 14.24.28.438,STANDARD
13,2024-03-25 14.24.29.967,STANDARD
14,2024-03-25 14.24.31.495,STANDARD
15,2024-03-25 14.24.33.024,TARGET
16,2024-03-25 14.24.34.557,STANDARD
17,2024-03-25 14.24.36.082,STANDARD
18,2024-03-25 14.24.37.607,STANDARD
19,2024-03-25 14.24.39.134,STANDARD
20,2024-03-25 14.24.40.659,TARGET
21,2024-03-25 14.24.42.184,STANDARD
22,2024-03-25 14.24.43.685,STANDARD
23,2024-03-25 14.24.45.215,STANDARD
24,2024-03-25 14.24.46.739,STANDARD
25,2024-03-25 14.24.48.255,STANDARD
26,2024-03-25 14.24.49.766,STANDARD
27,2024-03-25 14.24.51.279,TARGET
28,2024-03-25 14.24.52.805,TARGET
29,2024-03-25 14.24.54.334,STANDARD
30,2024-03-25 14.24.55.848,STANDARD
31,2024-03-25 14.24.57.361,STANDARD
32,2024-03-25 14.24.58.877,TARGET
33,2024-03-25 14.25.00.398,STANDARD
34,2024-03-25 14.25.01.922,STANDARD
35,2024-03-25 14.25.03.448,STANDARD
36,2024-03-25 14.25.04.964,STANDARD
37,2024-03-25 14.25.06.494,STANDARD
38,2024-03-25 14.25.08.023,TARGET
39,2024-03-25 14.25.09.551,STANDARD
40,2024-03-25 14.25.11.076,STANDARD
41,2024-03-25 14.25.12.606,STANDARD
42,2024-03-25 14.25.14.132,STANDARD
43,2024-03-25 14.25.15.656,STANDARD
44,2024-03-25 14.25.17.180,STANDARD
45,2024-03-25 14.25.18.697,STANDARD
46,2024-03-25 14.25.20.208,TARGET
47,2024-03-25 14.25.21.738,STANDARD
48,2024-03-25 14.25.23.252,STANDARD
49,2024-03-25 14.25.24.783,STANDARD
50,2024-03-25 14.25.26.295,TARGET
51,2024-03-25 14.25.27.820,STANDARD
52,2024-03-25 14.25.29.328,STANDARD
53,2024-03-25 14.25.30.850,TARGET
54,2024-03-25 14.25.32.378,STANDARD
55,2024-03-25 14.25.33.896,STANDARD
56,2024-03-25 14.25.35.409,STANDARD
57,2024-03-25 14.25.36.936,STANDARD
58,2024-03-25 14.25.38.458,STANDARD
59,2024-03-25 14.25.39.989,STANDARD
60,2024-03-25 14.25.41.519,TARGET
61,2024-03-25 14.25.43.047,TARGET
62,2024-03-25 14.25.44.573,TARGET
63,2024-03-25 14.25.46.080,STANDARD
64,2024-03-25 14.25.47.605,STANDARD
65,2024-03-25 14.25.49.135,STANDARD
66,2024-03-25 14.25.50.661,STANDARD
67,2024-03-25 14.25.52.184,STANDARD
68,2024-03-25 14.25.53.705,STANDARD
69,2024-03-25 14.25.55.229,STANDARD
70,2024-03-25 14.25.56.730,STANDARD
71,2024-03-25 14.25.58.241,STANDARD
72,2024-03-25 14.25.59.756,STANDARD
73,2024-03-25 14.26.01.270,STANDARD
74,2024-03-25 14.26.02.774,STANDARD
75,2024-03-25 14.26.04.300,STANDARD
76,2024-03-25 14.26.05.821,STANDARD
77,2024-03-25 14.26.07.338,STANDARD
78,2024-03-25 14.26.08.858,TARGET
79,2024-03-25 14.26.10.379,TARGET
80,2024-03-25 14.26.11.909,STANDARD
81,2024-03-25 14.26.13.438,STANDARD
82,2024-03-25 14.26.14.964,STANDARD
83,2024-03-25 14.26.16.493,TARGET
84,2024-03-25 14.26.18.003,STANDARD
85,2024-03-25 14.26.19.529,STANDARD
86,2024-03-25 14.26.21.055,STANDARD
87,2024-03-25 14.26.22.583,STANDARD
88,2024-03-25 14.26.24.099,STANDARD
89,2024-03-25 14.26.25.610,STANDARD
90,2024-03-25 14.26.27.131,TARGET
91,2024-03-25 14.26.28.650,STANDARD
92,2024-03-25 14.26.30.167,STANDARD
93,2024-03-25 14.26.31.685,TARGET
94,2024-03-25 14.26.33.210,STANDARD
95,2024-03-25 14.26.34.733,STANDARD
96,2024-03-25 14.26.36.249,TARGET
97,2024-03-25 14.26.37.775,STANDARD
98,2024-03-25 14.26.39.303,STANDARD
99,2024-03-25 14.26.40.820,STANDARD
100,2024-03-25 14.26.42.348,STANDARD
101,2024-03-25 14.26.43.873,END
