,datetimes,events
0,2024-02-23 10.46.44.082,START
1,2024-02-23 10.46.49.082,STANDARD
2,2024-02-23 10.46.50.100,STANDARD
3,2024-02-23 10.46.51.613,TARGET
4,2024-02-23 10.46.52.130,KEY PRESS
5,2024-02-23 10.46.53.143,TARGET
6,2024-02-23 10.46.53.579,KEY PRESS
7,2024-02-23 10.46.54.649,STANDARD
8,2024-02-23 10.46.56.179,STANDARD
9,2024-02-23 10.46.57.709,STANDARD
10,2024-02-23 10.46.59.218,STANDARD
11,2024-02-23 10.47.00.745,STANDARD
12,2024-02-23 10.47.02.264,STANDARD
13,2024-02-23 10.47.03.787,STANDARD
14,2024-02-23 10.47.05.308,TARGET
15,2024-02-23 10.47.05.888,KEY PRESS
16,2024-02-23 10.47.06.836,STANDARD
17,2024-02-23 10.47.08.361,STANDARD
18,2024-02-23 10.47.09.892,STANDARD
19,2024-02-23 10.47.11.419,STANDARD
20,2024-02-23 10.47.12.943,STANDARD
21,2024-02-23 10.47.14.454,TARGET
22,2024-02-23 10.47.14.921,KEY PRESS
23,2024-02-23 10.47.15.985,STANDARD
24,2024-02-23 10.47.17.514,STANDARD
25,2024-02-23 10.47.19.043,STANDARD
26,2024-02-23 10.47.20.558,STANDARD
27,2024-02-23 10.47.22.089,STANDARD
28,2024-02-23 10.47.23.615,STANDARD
29,2024-02-23 10.47.25.127,STANDARD
30,2024-02-23 10.47.26.640,STANDARD
31,2024-02-23 10.47.28.151,STANDARD
32,2024-02-23 10.47.29.672,TARGET
33,2024-02-23 10.47.30.271,KEY PRESS
34,2024-02-23 10.47.31.200,TARGET
35,2024-02-23 10.47.31.646,KEY PRESS
36,2024-02-23 10.47.32.723,STANDARD
37,2024-02-23 10.47.34.236,STANDARD
38,2024-02-23 10.47.35.753,STANDARD
39,2024-02-23 10.47.37.284,STANDARD
40,2024-02-23 10.47.38.801,TARGET
41,2024-02-23 10.47.39.250,KEY PRESS
42,2024-02-23 10.47.40.329,TARGET
43,2024-02-23 10.47.40.676,KEY PRESS
44,2024-02-23 10.47.41.845,STANDARD
45,2024-02-23 10.47.43.375,STANDARD
46,2024-02-23 10.47.44.891,STANDARD
47,2024-02-23 10.47.46.414,STANDARD
48,2024-02-23 10.47.47.926,STANDARD
49,2024-02-23 10.47.49.451,STANDARD
50,2024-02-23 10.47.50.980,TARGET
51,2024-02-23 10.47.51.546,KEY PRESS
52,2024-02-23 10.47.52.490,STANDARD
53,2024-02-23 10.47.54.020,STANDARD
54,2024-02-23 10.47.55.549,STANDARD
55,2024-02-23 10.47.57.075,STANDARD
56,2024-02-23 10.47.58.602,TARGET
57,2024-02-23 10.47.59.070,KEY PRESS
58,2024-02-23 10.48.00.112,STANDARD
59,2024-02-23 10.48.01.631,STANDARD
60,2024-02-23 10.48.03.144,STANDARD
61,2024-02-23 10.48.04.669,STANDARD
62,2024-02-23 10.48.06.198,STANDARD
63,2024-02-23 10.48.07.725,STANDARD
64,2024-02-23 10.48.09.252,TARGET
65,2024-02-23 10.48.09.699,KEY PRESS
66,2024-02-23 10.48.10.768,STANDARD
67,2024-02-23 10.48.12.282,TARGET
68,2024-02-23 10.48.12.763,KEY PRESS
69,2024-02-23 10.48.13.811,STANDARD
70,2024-02-23 10.48.15.338,STANDARD
71,2024-02-23 10.48.16.842,STANDARD
72,2024-02-23 10.48.18.359,STANDARD
73,2024-02-23 10.48.19.882,STANDARD
74,2024-02-23 10.48.21.410,STANDARD
75,2024-02-23 10.48.22.938,STANDARD
76,2024-02-23 10.48.24.448,STANDARD
77,2024-02-23 10.48.25.959,STANDARD
78,2024-02-23 10.48.27.465,STANDARD
79,2024-02-23 10.48.28.975,STANDARD
80,2024-02-23 10.48.30.474,TARGET
81,2024-02-23 10.48.30.923,KEY PRESS
82,2024-02-23 10.48.32.003,STANDARD
83,2024-02-23 10.48.33.531,TARGET
84,2024-02-23 10.48.33.929,KEY PRESS
85,2024-02-23 10.48.35.057,STANDARD
86,2024-02-23 10.48.36.580,STANDARD
87,2024-02-23 10.48.38.109,STANDARD
88,2024-02-23 10.48.39.639,STANDARD
89,2024-02-23 10.48.41.147,TARGET
90,2024-02-23 10.48.41.799,KEY PRESS
91,2024-02-23 10.48.42.663,STANDARD
92,2024-02-23 10.48.44.191,TARGET
93,2024-02-23 10.48.44.642,KEY PRESS
94,2024-02-23 10.48.45.704,STANDARD
95,2024-02-23 10.48.47.216,STANDARD
96,2024-02-23 10.48.48.740,STANDARD
97,2024-02-23 10.48.50.265,STANDARD
98,2024-02-23 10.48.51.780,STANDARD
99,2024-02-23 10.48.53.309,STANDARD
100,2024-02-23 10.48.54.820,TARGET
101,2024-02-23 10.48.55.302,KEY PRESS
102,2024-02-23 10.48.56.350,TARGET
103,2024-02-23 10.48.56.729,KEY PRESS
104,2024-02-23 10.48.57.880,STANDARD
105,2024-02-23 10.48.59.407,STANDARD
106,2024-02-23 10.49.00.934,STANDARD
107,2024-02-23 10.49.02.463,STANDARD
108,2024-02-23 10.49.03.977,STANDARD
109,2024-02-23 10.49.05.492,STANDARD
110,2024-02-23 10.49.07.020,STANDARD
111,2024-02-23 10.49.08.533,STANDARD
112,2024-02-23 10.49.10.035,STANDARD
113,2024-02-23 10.49.11.562,STANDARD
114,2024-02-23 10.49.13.083,STANDARD
115,2024-02-23 10.49.14.604,TARGET
116,2024-02-23 10.49.15.082,KEY PRESS
117,2024-02-23 10.49.16.125,STANDARD
118,2024-02-23 10.49.17.634,STANDARD
119,2024-02-23 10.49.19.156,TARGET
120,2024-02-23 10.49.19.554,KEY PRESS
121,2024-02-23 10.49.20.680,END
