datetime,sample,chnl-1-raw,chnl-2-raw,chnl-3-raw,action
2024-02-23 11.06.07.078,1485.0,10.41128158569336,-32.683624267578125,-18.969467163085938,
2024-02-23 11.06.07.082,1486.0,125.4813232421875,157.29159545898438,-121.43984985351562,
2024-02-23 11.06.07.087,1487.0,251.39529418945312,349.2445678710937,-192.79966735839844,
2024-02-23 11.06.07.091,1488.0,348.33380126953125,511.540283203125,-219.42713928222656,
2024-02-23 11.06.07.095,1489.0,388.7005920410156,597.0145263671875,-204.36538696289065,
2024-02-23 11.06.07.102,1490.0,366.0255126953125,573.7885131835938,-163.12265014648438,
2024-02-23 11.06.07.106,1491.0,295.19219970703125,432.2228393554688,-116.80813598632812,
2024-02-23 11.06.07.112,1492.0,202.99514770507807,192.66384887695312,-83.63822937011719,
2024-02-23 11.06.07.116,1493.0,115.82162475585938,-100.88877868652344,-74.67880249023438,
2024-02-23 11.06.07.120,1494.0,48.92195510864258,-381.46728515625,-91.27737426757812,
2024-02-23 11.06.07.125,1495.0,2.7285385131835938,-593.4521484375,-127.37809753417967,
2024-02-23 11.06.07.131,1496.0,-33.621337890625,-706.5916748046875,-174.99632263183594,
2024-02-23 11.06.07.141,1497.0,-72.73204040527344,-713.888427734375,-225.5342559814453,
2024-02-23 11.06.07.141,1498.0,-120.07925415039062,-632.5413208007812,-271.3665466308594,
2024-02-23 11.06.07.143,1499.0,-169.76104736328125,-493.4671936035156,-304.9778137207031,
2024-02-23 11.06.07.150,1500.0,-206.66818237304688,-335.36773681640625,-317.67657470703125,
2024-02-23 11.06.07.155,1501.0,-214.4794769287109,-183.2559356689453,-297.4290466308594,
2024-02-23 11.06.07.159,1502.0,-185.04290771484372,-51.68610763549805,-237.79026794433597,
2024-02-23 11.06.07.165,1503.0,-123.51011657714844,56.35742950439453,-139.43955993652344,
2024-02-23 11.06.07.168,1504.0,-46.66680145263672,144.69418334960938,-15.056026458740234,
2024-02-23 11.06.07.174,1505.0,25.3264274597168,221.3077392578125,111.04273986816406,
2024-02-23 11.06.07.179,1506.0,78.48155212402344,292.35467529296875,212.62278747558597,
2024-02-23 11.06.07.183,1507.0,111.82662963867188,366.6677856445313,267.9399108886719,
2024-02-23 11.06.07.188,1508.0,136.29017639160156,438.9410095214844,270.1573791503906,
2024-02-23 11.06.07.192,1509.0,167.29718017578125,507.9137573242188,232.28228759765625,
2024-02-23 11.06.07.198,1510.0,213.9329833984375,570.9054565429688,178.58949279785156,
2024-02-23 11.06.07.204,1511.0,270.4838562011719,615.128662109375,138.2759246826172,
2024-02-23 11.06.07.209,1512.0,316.5202331542969,631.9481201171875,129.1314239501953,
2024-02-23 11.06.07.213,1513.0,324.5111999511719,603.016845703125,148.33384704589844,
2024-02-23 11.06.07.217,1514.0,273.3236083984375,522.3627319335938,174.8953857421875,
2024-02-23 11.06.07.222,1515.0,160.914306640625,390.4299011230469,176.05284118652344,
2024-02-23 11.06.07.227,1516.0,8.073291778564453,215.9601287841797,127.2353057861328,
2024-02-23 11.06.07.232,1517.0,-146.32513427734375,24.512527465820312,25.80583953857422,
2024-02-23 11.06.07.238,1518.0,-260.177734375,-158.06100463867188,-104.51644897460938,
2024-02-23 11.06.07.241,1519.0,-304.4279479980469,-311.114013671875,-220.086181640625,
2024-02-23 11.06.07.247,1520.0,-275.57586669921875,-419.8507080078125,-275.6839599609375,
2024-02-23 11.06.07.251,1521.0,-195.4846649169922,-482.5953369140625,-245.4078521728516,
2024-02-23 11.06.07.257,1522.0,-101.50260925292967,-503.8673095703125,-136.44761657714844,
2024-02-23 11.06.07.262,1523.0,-29.668231964111328,-493.1417846679688,13.101806640625,
2024-02-23 11.06.07.265,1524.0,0.7411689758300781,-457.8413391113281,147.88674926757812,
2024-02-23 11.06.07.271,1525.0,-5.659717559814453,-397.39556884765625,218.63262939453125,
2024-02-23 11.06.07.276,1526.0,-25.07149124145508,-304.8595886230469,202.4243621826172,
2024-02-23 11.06.07.280,1527.0,-27.79449844360352,-179.5548095703125,113.68555450439452,
2024-02-23 11.06.07.285,1528.0,6.037643432617188,-22.347694396972656,-4.502838134765625,
2024-02-23 11.06.07.289,1529.0,75.75077819824219,156.71368408203125,-98.207275390625,
2024-02-23 11.06.07.296,1530.0,160.11065673828125,333.2214050292969,-128.22601318359375,
2024-02-23 11.06.07.300,1531.0,227.3104248046875,487.0231628417969,-86.89044189453125,
