,datetimes,events
0,2024-02-23 11.39.58.501,START
1,2024-02-23 11.40.03.500,TARGET
2,2024-02-23 11.40.04.519,STANDARD
3,2024-02-23 11.40.06.028,STANDARD
4,2024-02-23 11.40.07.554,STANDARD
5,2024-02-23 11.40.09.063,TARGET
6,2024-02-23 11.40.09.495,KEY PRESS
7,2024-02-23 11.40.10.588,STANDARD
8,2024-02-23 11.40.12.111,STANDARD
9,2024-02-23 11.40.13.634,STANDARD
10,2024-02-23 11.40.15.160,STANDARD
11,2024-02-23 11.40.16.675,STANDARD
12,2024-02-23 11.40.18.199,STANDARD
13,2024-02-23 11.40.19.724,STANDARD
14,2024-02-23 11.40.21.250,STANDARD
15,2024-02-23 11.40.22.772,STANDARD
16,2024-02-23 11.40.24.285,TARGET
17,2024-02-23 11.40.24.699,KEY PRESS
18,2024-02-23 11.40.25.804,STANDARD
19,2024-02-23 11.40.27.331,STANDARD
20,2024-02-23 11.40.28.843,TARGET
21,2024-02-23 11.40.29.361,KEY PRESS
22,2024-02-23 11.40.30.344,STANDARD
23,2024-02-23 11.40.31.867,STANDARD
24,2024-02-23 11.40.33.387,TARGET
25,2024-02-23 11.40.33.816,KEY PRESS
26,2024-02-23 11.40.34.905,STANDARD
27,2024-02-23 11.40.36.425,STANDARD
28,2024-02-23 11.40.37.950,STANDARD
29,2024-02-23 11.40.39.472,STANDARD
30,2024-02-23 11.40.40.996,STANDARD
31,2024-02-23 11.40.42.513,TARGET
32,2024-02-23 11.40.42.972,KEY PRESS
33,2024-02-23 11.40.44.032,STANDARD
34,2024-02-23 11.40.45.544,STANDARD
35,2024-02-23 11.40.47.070,STANDARD
36,2024-02-23 11.40.48.586,STANDARD
37,2024-02-23 11.40.50.111,STANDARD
38,2024-02-23 11.40.51.620,STANDARD
39,2024-02-23 11.40.53.136,STANDARD
40,2024-02-23 11.40.54.661,TARGET
41,2024-02-23 11.40.55.174,KEY PRESS
42,2024-02-23 11.40.56.181,STANDARD
43,2024-02-23 11.40.57.697,STANDARD
44,2024-02-23 11.40.59.215,TARGET
45,2024-02-23 11.40.59.761,KEY PRESS
46,2024-02-23 11.41.00.733,STANDARD
47,2024-02-23 11.41.02.253,STANDARD
48,2024-02-23 11.41.03.771,STANDARD
49,2024-02-23 11.41.05.294,STANDARD
50,2024-02-23 11.41.06.809,STANDARD
51,2024-02-23 11.41.08.329,TARGET
52,2024-02-23 11.41.08.823,KEY PRESS
53,2024-02-23 11.41.09.845,STANDARD
54,2024-02-23 11.41.11.356,STANDARD
55,2024-02-23 11.41.12.857,STANDARD
56,2024-02-23 11.41.14.372,STANDARD
57,2024-02-23 11.41.15.898,TARGET
58,2024-02-23 11.41.16.475,KEY PRESS
59,2024-02-23 11.41.17.424,STANDARD
60,2024-02-23 11.41.18.946,STANDARD
61,2024-02-23 11.41.20.471,STANDARD
62,2024-02-23 11.41.21.997,STANDARD
63,2024-02-23 11.41.23.509,STANDARD
64,2024-02-23 11.41.25.021,STANDARD
65,2024-02-23 11.41.26.533,STANDARD
66,2024-02-23 11.41.28.047,STANDARD
67,2024-02-23 11.41.29.570,TARGET
68,2024-02-23 11.41.29.984,KEY PRESS
69,2024-02-23 11.41.31.085,TARGET
70,2024-02-23 11.41.31.683,KEY PRESS
71,2024-02-23 11.41.32.600,STANDARD
72,2024-02-23 11.41.34.125,TARGET
73,2024-02-23 11.41.34.675,KEY PRESS
74,2024-02-23 11.41.35.635,STANDARD
75,2024-02-23 11.41.37.147,STANDARD
76,2024-02-23 11.41.38.657,STANDARD
77,2024-02-23 11.41.40.170,TARGET
78,2024-02-23 11.41.40.619,KEY PRESS
79,2024-02-23 11.41.41.697,STANDARD
80,2024-02-23 11.41.43.227,STANDARD
81,2024-02-23 11.41.44.743,STANDARD
82,2024-02-23 11.41.46.268,STANDARD
83,2024-02-23 11.41.47.787,STANDARD
84,2024-02-23 11.41.49.311,STANDARD
85,2024-02-23 11.41.50.833,STANDARD
86,2024-02-23 11.41.52.352,STANDARD
87,2024-02-23 11.41.53.867,STANDARD
88,2024-02-23 11.41.55.388,STANDARD
89,2024-02-23 11.41.56.907,STANDARD
90,2024-02-23 11.41.58.425,STANDARD
91,2024-02-23 11.41.59.939,STANDARD
92,2024-02-23 11.42.01.454,TARGET
93,2024-02-23 11.42.01.935,KEY PRESS
94,2024-02-23 11.42.02.968,TARGET
95,2024-02-23 11.42.03.550,KEY PRESS
96,2024-02-23 11.42.04.492,STANDARD
97,2024-02-23 11.42.06.016,STANDARD
98,2024-02-23 11.42.07.544,TARGET
99,2024-02-23 11.42.08.055,KEY PRESS
100,2024-02-23 11.42.09.061,STANDARD
101,2024-02-23 11.42.10.584,STANDARD
102,2024-02-23 11.42.12.105,STANDARD
103,2024-02-23 11.42.13.624,STANDARD
104,2024-02-23 11.42.15.152,STANDARD
105,2024-02-23 11.42.16.674,TARGET
106,2024-02-23 11.42.17.205,KEY PRESS
107,2024-02-23 11.42.18.202,STANDARD
108,2024-02-23 11.42.19.729,STANDARD
109,2024-02-23 11.42.21.252,STANDARD
110,2024-02-23 11.42.22.780,STANDARD
111,2024-02-23 11.42.24.309,STANDARD
112,2024-02-23 11.42.25.837,STANDARD
113,2024-02-23 11.42.27.362,STANDARD
114,2024-02-23 11.42.28.878,TARGET
115,2024-02-23 11.42.29.291,KEY PRESS
116,2024-02-23 11.42.30.393,STANDARD
117,2024-02-23 11.42.31.909,STANDARD
118,2024-02-23 11.42.33.423,TARGET
119,2024-02-23 11.42.33.918,KEY PRESS
120,2024-02-23 11.42.34.951,END
