,datetimes,events
0,2024-02-27 11.21.59.353,START
1,2024-02-27 11.22.04.353,STANDARD
2,2024-02-27 11.22.05.369,STANDARD
3,2024-02-27 11.22.06.895,STANDARD
4,2024-02-27 11.22.08.419,STANDARD
5,2024-02-27 11.22.09.930,STANDARD
6,2024-02-27 11.22.11.450,STANDARD
7,2024-02-27 11.22.12.973,TARGET
8,2024-02-27 11.22.13.540,KEY PRESS
9,2024-02-27 11.22.14.504,TARGET
10,2024-02-27 11.22.15.069,KEY PRESS
11,2024-02-27 11.22.16.026,STANDARD
12,2024-02-27 11.22.17.556,STANDARD
13,2024-02-27 11.22.19.070,STANDARD
14,2024-02-27 11.22.20.583,STANDARD
15,2024-02-27 11.22.22.114,TARGET
16,2024-02-27 11.22.22.696,KEY PRESS
17,2024-02-27 11.22.23.632,TARGET
18,2024-02-27 11.22.24.162,KEY PRESS
19,2024-02-27 11.22.25.146,STANDARD
20,2024-02-27 11.22.26.662,STANDARD
21,2024-02-27 11.22.28.177,STANDARD
22,2024-02-27 11.22.29.691,STANDARD
23,2024-02-27 11.22.31.220,STANDARD
24,2024-02-27 11.22.32.748,STANDARD
25,2024-02-27 11.22.34.275,STANDARD
26,2024-02-27 11.22.35.804,STANDARD
27,2024-02-27 11.22.37.335,STANDARD
28,2024-02-27 11.22.38.847,STANDARD
29,2024-02-27 11.22.40.357,TARGET
30,2024-02-27 11.22.40.956,KEY PRESS
31,2024-02-27 11.22.41.882,TARGET
32,2024-02-27 11.22.42.413,KEY PRESS
33,2024-02-27 11.22.43.402,STANDARD
34,2024-02-27 11.22.44.928,STANDARD
35,2024-02-27 11.22.46.458,STANDARD
36,2024-02-27 11.22.47.984,STANDARD
37,2024-02-27 11.22.49.497,STANDARD
38,2024-02-27 11.22.51.025,STANDARD
39,2024-02-27 11.22.52.526,STANDARD
40,2024-02-27 11.22.54.054,STANDARD
41,2024-02-27 11.22.55.566,TARGET
42,2024-02-27 11.22.56.165,KEY PRESS
43,2024-02-27 11.22.57.077,STANDARD
44,2024-02-27 11.22.58.591,TARGET
45,2024-02-27 11.22.59.093,KEY PRESS
46,2024-02-27 11.23.00.096,STANDARD
47,2024-02-27 11.23.01.619,STANDARD
48,2024-02-27 11.23.03.131,STANDARD
49,2024-02-27 11.23.04.645,STANDARD
50,2024-02-27 11.23.06.172,TARGET
51,2024-02-27 11.23.06.770,KEY PRESS
52,2024-02-27 11.23.07.687,STANDARD
53,2024-02-27 11.23.09.200,STANDARD
54,2024-02-27 11.23.10.725,TARGET
55,2024-02-27 11.23.11.194,KEY PRESS
56,2024-02-27 11.23.12.240,STANDARD
57,2024-02-27 11.23.13.766,STANDARD
58,2024-02-27 11.23.15.282,STANDARD
59,2024-02-27 11.23.16.790,STANDARD
60,2024-02-27 11.23.18.319,STANDARD
61,2024-02-27 11.23.19.834,STANDARD
62,2024-02-27 11.23.21.356,STANDARD
63,2024-02-27 11.23.22.859,TARGET
64,2024-02-27 11.23.23.393,KEY PRESS
65,2024-02-27 11.23.24.373,STANDARD
66,2024-02-27 11.23.25.892,STANDARD
67,2024-02-27 11.23.27.412,TARGET
68,2024-02-27 11.23.27.940,KEY PRESS
69,2024-02-27 11.23.28.937,STANDARD
70,2024-02-27 11.23.30.449,STANDARD
71,2024-02-27 11.23.31.964,STANDARD
72,2024-02-27 11.23.33.489,STANDARD
73,2024-02-27 11.23.35.001,STANDARD
74,2024-02-27 11.23.36.527,STANDARD
75,2024-02-27 11.23.38.050,STANDARD
76,2024-02-27 11.23.39.576,STANDARD
77,2024-02-27 11.23.41.100,STANDARD
78,2024-02-27 11.23.42.613,TARGET
79,2024-02-27 11.23.43.161,KEY PRESS
80,2024-02-27 11.23.44.139,STANDARD
81,2024-02-27 11.23.45.666,STANDARD
82,2024-02-27 11.23.47.189,STANDARD
83,2024-02-27 11.23.48.718,TARGET
84,2024-02-27 11.23.49.330,KEY PRESS
85,2024-02-27 11.23.50.243,STANDARD
86,2024-02-27 11.23.51.752,STANDARD
87,2024-02-27 11.23.53.266,STANDARD
88,2024-02-27 11.23.54.784,STANDARD
89,2024-02-27 11.23.56.314,TARGET
90,2024-02-27 11.23.56.915,KEY PRESS
91,2024-02-27 11.23.57.820,TARGET
92,2024-02-27 11.23.58.285,KEY PRESS
93,2024-02-27 11.23.59.338,STANDARD
94,2024-02-27 11.24.00.868,STANDARD
95,2024-02-27 11.24.02.390,STANDARD
96,2024-02-27 11.24.03.917,STANDARD
97,2024-02-27 11.24.05.441,STANDARD
98,2024-02-27 11.24.06.971,STANDARD
99,2024-02-27 11.24.08.499,STANDARD
100,2024-02-27 11.24.10.024,TARGET
101,2024-02-27 11.24.10.489,KEY PRESS
102,2024-02-27 11.24.11.547,TARGET
103,2024-02-27 11.24.12.062,KEY PRESS
104,2024-02-27 11.24.13.076,STANDARD
105,2024-02-27 11.24.14.590,STANDARD
106,2024-02-27 11.24.16.115,STANDARD
107,2024-02-27 11.24.17.616,STANDARD
108,2024-02-27 11.24.19.140,STANDARD
109,2024-02-27 11.24.20.652,STANDARD
110,2024-02-27 11.24.22.176,STANDARD
111,2024-02-27 11.24.23.707,STANDARD
112,2024-02-27 11.24.25.231,STANDARD
113,2024-02-27 11.24.26.757,TARGET
114,2024-02-27 11.24.27.318,KEY PRESS
115,2024-02-27 11.24.28.283,TARGET
116,2024-02-27 11.24.28.748,KEY PRESS
117,2024-02-27 11.24.29.807,STANDARD
118,2024-02-27 11.24.31.322,STANDARD
119,2024-02-27 11.24.32.839,STANDARD
120,2024-02-27 11.24.34.364,STANDARD
121,2024-02-27 11.24.35.889,END
