,datetimes,events
0,2024-02-27 14.17.20.732,START
1,2024-02-27 14.17.25.731,TARGET
2,2024-02-27 14.17.26.742,TARGET
3,2024-02-27 14.17.27.124,KEY PRESS
4,2024-02-27 14.17.28.272,STANDARD
5,2024-02-27 14.17.29.801,STANDARD
6,2024-02-27 14.17.31.328,STANDARD
7,2024-02-27 14.17.32.853,STANDARD
8,2024-02-27 14.17.34.377,STANDARD
9,2024-02-27 14.17.35.904,STANDARD
10,2024-02-27 14.17.37.420,STANDARD
11,2024-02-27 14.17.38.932,STANDARD
12,2024-02-27 14.17.40.445,STANDARD
13,2024-02-27 14.17.41.972,STANDARD
14,2024-02-27 14.17.43.504,STANDARD
15,2024-02-27 14.17.45.019,STANDARD
16,2024-02-27 14.17.46.546,STANDARD
17,2024-02-27 14.17.48.060,STANDARD
18,2024-02-27 14.17.49.590,STANDARD
19,2024-02-27 14.17.51.116,TARGET
20,2024-02-27 14.17.51.546,KEY PRESS
21,2024-02-27 14.17.52.641,STANDARD
22,2024-02-27 14.17.54.156,TARGET
23,2024-02-27 14.17.54.619,KEY PRESS
24,2024-02-27 14.17.55.682,STANDARD
25,2024-02-27 14.17.57.194,TARGET
26,2024-02-27 14.17.57.679,KEY PRESS
27,2024-02-27 14.17.58.695,STANDARD
28,2024-02-27 14.18.00.207,STANDARD
29,2024-02-27 14.18.01.730,STANDARD
30,2024-02-27 14.18.03.253,STANDARD
31,2024-02-27 14.18.04.771,STANDARD
32,2024-02-27 14.18.06.283,STANDARD
33,2024-02-27 14.18.07.812,STANDARD
34,2024-02-27 14.18.09.334,TARGET
35,2024-02-27 14.18.09.750,KEY PRESS
36,2024-02-27 14.18.10.858,TARGET
37,2024-02-27 14.18.11.389,KEY PRESS
38,2024-02-27 14.18.12.384,STANDARD
39,2024-02-27 14.18.13.900,STANDARD
40,2024-02-27 14.18.15.431,STANDARD
41,2024-02-27 14.18.16.962,STANDARD
42,2024-02-27 14.18.18.489,TARGET
43,2024-02-27 14.18.18.918,KEY PRESS
44,2024-02-27 14.18.20.015,STANDARD
45,2024-02-27 14.18.21.542,STANDARD
46,2024-02-27 14.18.23.054,STANDARD
47,2024-02-27 14.18.24.570,STANDARD
48,2024-02-27 14.18.26.098,STANDARD
49,2024-02-27 14.18.27.611,STANDARD
50,2024-02-27 14.18.29.137,TARGET
51,2024-02-27 14.18.29.587,KEY PRESS
52,2024-02-27 14.18.30.650,STANDARD
53,2024-02-27 14.18.32.162,STANDARD
54,2024-02-27 14.18.33.685,STANDARD
55,2024-02-27 14.18.35.188,STANDARD
56,2024-02-27 14.18.36.716,TARGET
57,2024-02-27 14.18.37.131,KEY PRESS
58,2024-02-27 14.18.38.242,STANDARD
59,2024-02-27 14.18.39.744,STANDARD
60,2024-02-27 14.18.41.256,STANDARD
61,2024-02-27 14.18.42.783,TARGET
62,2024-02-27 14.18.43.231,KEY PRESS
63,2024-02-27 14.18.44.313,STANDARD
64,2024-02-27 14.18.45.842,STANDARD
65,2024-02-27 14.18.47.358,STANDARD
66,2024-02-27 14.18.48.871,STANDARD
67,2024-02-27 14.18.50.394,STANDARD
68,2024-02-27 14.18.51.925,STANDARD
69,2024-02-27 14.18.53.433,TARGET
70,2024-02-27 14.18.53.882,KEY PRESS
71,2024-02-27 14.18.54.961,STANDARD
72,2024-02-27 14.18.56.487,STANDARD
73,2024-02-27 14.18.58.003,STANDARD
74,2024-02-27 14.18.59.529,STANDARD
75,2024-02-27 14.19.01.051,STANDARD
76,2024-02-27 14.19.02.560,TARGET
77,2024-02-27 14.19.02.959,KEY PRESS
78,2024-02-27 14.19.04.086,TARGET
79,2024-02-27 14.19.04.566,KEY PRESS
80,2024-02-27 14.19.05.611,STANDARD
81,2024-02-27 14.19.07.135,STANDARD
82,2024-02-27 14.19.08.663,STANDARD
83,2024-02-27 14.19.10.185,STANDARD
84,2024-02-27 14.19.11.708,STANDARD
85,2024-02-27 14.19.13.220,STANDARD
86,2024-02-27 14.19.14.745,TARGET
87,2024-02-27 14.19.15.231,KEY PRESS
88,2024-02-27 14.19.16.261,STANDARD
89,2024-02-27 14.19.17.784,STANDARD
90,2024-02-27 14.19.19.309,STANDARD
91,2024-02-27 14.19.20.832,STANDARD
92,2024-02-27 14.19.22.336,STANDARD
93,2024-02-27 14.19.23.857,TARGET
94,2024-02-27 14.19.24.372,KEY PRESS
95,2024-02-27 14.19.25.380,STANDARD
96,2024-02-27 14.19.26.907,STANDARD
97,2024-02-27 14.19.28.419,STANDARD
98,2024-02-27 14.19.29.945,STANDARD
99,2024-02-27 14.19.31.475,STANDARD
100,2024-02-27 14.19.32.999,STANDARD
101,2024-02-27 14.19.34.531,STANDARD
102,2024-02-27 14.19.36.042,STANDARD
103,2024-02-27 14.19.37.571,STANDARD
104,2024-02-27 14.19.39.099,TARGET
105,2024-02-27 14.19.39.578,KEY PRESS
106,2024-02-27 14.19.40.618,TARGET
107,2024-02-27 14.19.41.150,KEY PRESS
108,2024-02-27 14.19.42.132,STANDARD
109,2024-02-27 14.19.43.647,TARGET
110,2024-02-27 14.19.44.165,KEY PRESS
111,2024-02-27 14.19.45.160,TARGET
112,2024-02-27 14.19.45.590,KEY PRESS
113,2024-02-27 14.19.46.686,STANDARD
114,2024-02-27 14.19.48.200,STANDARD
115,2024-02-27 14.19.49.720,STANDARD
116,2024-02-27 14.19.51.247,STANDARD
117,2024-02-27 14.19.52.755,STANDARD
118,2024-02-27 14.19.54.282,STANDARD
119,2024-02-27 14.19.55.809,STANDARD
120,2024-02-27 14.19.57.335,END
