,datetimes,events
0,2024-03-28 11.22.09.251,START
1,2024-03-28 11.22.14.252,STANDARD
2,2024-03-28 11.22.15.267,STANDARD
3,2024-03-28 11.22.16.784,STANDARD
4,2024-03-28 11.22.18.296,STANDARD
5,2024-03-28 11.22.19.819,STANDARD
6,2024-03-28 11.22.21.340,STANDARD
7,2024-03-28 11.22.22.855,STANDARD
8,2024-03-28 11.22.24.380,STANDARD
9,2024-03-28 11.22.25.910,TARGET
10,2024-03-28 11.22.27.430,TARGET
11,2024-03-28 11.22.28.942,STANDARD
12,2024-03-28 11.22.30.471,STANDARD
13,2024-03-28 11.22.31.992,STANDARD
14,2024-03-28 11.22.33.508,STANDARD
15,2024-03-28 11.22.35.035,TARGET
16,2024-03-28 11.22.36.562,STANDARD
17,2024-03-28 11.22.38.088,STANDARD
18,2024-03-28 11.22.39.601,TARGET
19,2024-03-28 11.22.41.123,STANDARD
20,2024-03-28 11.22.42.653,STANDARD
21,2024-03-28 11.22.44.161,STANDARD
22,2024-03-28 11.22.45.689,STANDARD
23,2024-03-28 11.22.47.216,TARGET
24,2024-03-28 11.22.48.732,STANDARD
25,2024-03-28 11.22.50.258,STANDARD
26,2024-03-28 11.22.51.773,STANDARD
27,2024-03-28 11.22.53.295,TARGET
28,2024-03-28 11.22.54.819,STANDARD
29,2024-03-28 11.22.56.345,STANDARD
30,2024-03-28 11.22.57.871,STANDARD
31,2024-03-28 11.22.59.373,STANDARD
32,2024-03-28 11.23.00.884,STANDARD
33,2024-03-28 11.23.02.410,STANDARD
34,2024-03-28 11.23.03.925,STANDARD
35,2024-03-28 11.23.05.440,TARGET
36,2024-03-28 11.23.06.966,STANDARD
37,2024-03-28 11.23.08.490,STANDARD
38,2024-03-28 11.23.10.003,STANDARD
39,2024-03-28 11.23.11.527,TARGET
40,2024-03-28 11.23.13.053,STANDARD
41,2024-03-28 11.23.14.562,STANDARD
42,2024-03-28 11.23.16.095,STANDARD
43,2024-03-28 11.23.17.624,STANDARD
44,2024-03-28 11.23.19.155,TARGET
45,2024-03-28 11.23.20.677,TARGET
46,2024-03-28 11.23.22.203,STANDARD
47,2024-03-28 11.23.23.705,STANDARD
48,2024-03-28 11.23.25.232,STANDARD
49,2024-03-28 11.23.26.743,STANDARD
50,2024-03-28 11.23.28.271,STANDARD
51,2024-03-28 11.23.29.785,STANDARD
52,2024-03-28 11.23.31.289,STANDARD
53,2024-03-28 11.23.32.813,STANDARD
54,2024-03-28 11.23.34.341,TARGET
55,2024-03-28 11.23.35.858,STANDARD
56,2024-03-28 11.23.37.373,STANDARD
57,2024-03-28 11.23.38.895,STANDARD
58,2024-03-28 11.23.40.409,STANDARD
59,2024-03-28 11.23.41.933,STANDARD
60,2024-03-28 11.23.43.462,TARGET
61,2024-03-28 11.23.44.984,TARGET
62,2024-03-28 11.23.46.500,STANDARD
63,2024-03-28 11.23.48.025,STANDARD
64,2024-03-28 11.23.49.553,STANDARD
65,2024-03-28 11.23.51.080,STANDARD
66,2024-03-28 11.23.52.596,STANDARD
67,2024-03-28 11.23.54.125,STANDARD
68,2024-03-28 11.23.55.648,STANDARD
69,2024-03-28 11.23.57.176,TARGET
70,2024-03-28 11.23.58.703,STANDARD
71,2024-03-28 11.24.00.227,TARGET
72,2024-03-28 11.24.01.752,STANDARD
73,2024-03-28 11.24.03.279,STANDARD
74,2024-03-28 11.24.04.796,STANDARD
75,2024-03-28 11.24.06.322,STANDARD
76,2024-03-28 11.24.07.848,STANDARD
77,2024-03-28 11.24.09.365,STANDARD
78,2024-03-28 11.24.10.895,STANDARD
79,2024-03-28 11.24.12.417,STANDARD
80,2024-03-28 11.24.13.945,TARGET
81,2024-03-28 11.24.15.460,STANDARD
82,2024-03-28 11.24.16.986,STANDARD
83,2024-03-28 11.24.18.500,STANDARD
84,2024-03-28 11.24.20.024,TARGET
85,2024-03-28 11.24.21.541,STANDARD
86,2024-03-28 11.24.23.068,STANDARD
87,2024-03-28 11.24.24.595,STANDARD
88,2024-03-28 11.24.26.119,TARGET
89,2024-03-28 11.24.27.644,STANDARD
90,2024-03-28 11.24.29.145,STANDARD
91,2024-03-28 11.24.30.674,TARGET
92,2024-03-28 11.24.32.187,STANDARD
93,2024-03-28 11.24.33.700,STANDARD
94,2024-03-28 11.24.35.211,STANDARD
95,2024-03-28 11.24.36.741,STANDARD
96,2024-03-28 11.24.38.263,STANDARD
97,2024-03-28 11.24.39.786,TARGET
98,2024-03-28 11.24.41.300,STANDARD
99,2024-03-28 11.24.42.823,STANDARD
100,2024-03-28 11.24.44.343,STANDARD
101,2024-03-28 11.24.45.864,END
