,datetimes,events
0,2024-03-25 14.55.00.395,START
1,2024-03-25 14.55.05.394,STANDARD
2,2024-03-25 14.55.06.414,STANDARD
3,2024-03-25 14.55.07.930,STANDARD
4,2024-03-25 14.55.09.445,STANDARD
5,2024-03-25 14.55.10.970,STANDARD
6,2024-03-25 14.55.12.481,TARGET
7,2024-03-25 14.55.14.007,STANDARD
8,2024-03-25 14.55.15.535,STANDARD
9,2024-03-25 14.55.17.065,STANDARD
10,2024-03-25 14.55.18.587,TARGET
11,2024-03-25 14.55.20.093,STANDARD
12,2024-03-25 14.55.21.620,TARGET
13,2024-03-25 14.55.23.133,STANDARD
14,2024-03-25 14.55.24.654,STANDARD
15,2024-03-25 14.55.26.185,TARGET
16,2024-03-25 14.55.27.713,STANDARD
17,2024-03-25 14.55.29.238,STANDARD
18,2024-03-25 14.55.30.767,STANDARD
19,2024-03-25 14.55.32.295,STANDARD
20,2024-03-25 14.55.33.806,STANDARD
21,2024-03-25 14.55.35.330,TARGET
22,2024-03-25 14.55.36.851,STANDARD
23,2024-03-25 14.55.38.377,TARGET
24,2024-03-25 14.55.39.894,STANDARD
25,2024-03-25 14.55.41.425,STANDARD
26,2024-03-25 14.55.42.934,STANDARD
27,2024-03-25 14.55.44.462,STANDARD
28,2024-03-25 14.55.45.974,STANDARD
29,2024-03-25 14.55.47.496,STANDARD
30,2024-03-25 14.55.49.019,STANDARD
31,2024-03-25 14.55.50.536,STANDARD
32,2024-03-25 14.55.52.053,STANDARD
33,2024-03-25 14.55.53.577,STANDARD
34,2024-03-25 14.55.55.104,TARGET
35,2024-03-25 14.55.56.633,STANDARD
36,2024-03-25 14.55.58.145,STANDARD
37,2024-03-25 14.55.59.658,STANDARD
38,2024-03-25 14.56.01.175,STANDARD
39,2024-03-25 14.56.02.701,STANDARD
40,2024-03-25 14.56.04.226,TARGET
41,2024-03-25 14.56.05.725,STANDARD
42,2024-03-25 14.56.07.241,STANDARD
43,2024-03-25 14.56.08.756,STANDARD
44,2024-03-25 14.56.10.279,TARGET
45,2024-03-25 14.56.11.810,STANDARD
46,2024-03-25 14.56.13.339,TARGET
47,2024-03-25 14.56.14.862,STANDARD
48,2024-03-25 14.56.16.390,STANDARD
49,2024-03-25 14.56.17.921,STANDARD
50,2024-03-25 14.56.19.449,STANDARD
51,2024-03-25 14.56.20.976,STANDARD
52,2024-03-25 14.56.22.503,TARGET
53,2024-03-25 14.56.24.033,STANDARD
54,2024-03-25 14.56.25.549,STANDARD
55,2024-03-25 14.56.27.076,STANDARD
56,2024-03-25 14.56.28.588,STANDARD
57,2024-03-25 14.56.30.115,TARGET
58,2024-03-25 14.56.31.636,STANDARD
59,2024-03-25 14.56.33.161,STANDARD
60,2024-03-25 14.56.34.690,STANDARD
61,2024-03-25 14.56.36.212,STANDARD
62,2024-03-25 14.56.37.740,STANDARD
63,2024-03-25 14.56.39.264,STANDARD
64,2024-03-25 14.56.40.791,STANDARD
65,2024-03-25 14.56.42.317,STANDARD
66,2024-03-25 14.56.43.835,TARGET
67,2024-03-25 14.56.45.349,STANDARD
68,2024-03-25 14.56.46.880,TARGET
69,2024-03-25 14.56.48.408,STANDARD
70,2024-03-25 14.56.49.936,STANDARD
71,2024-03-25 14.56.51.465,STANDARD
72,2024-03-25 14.56.52.991,STANDARD
73,2024-03-25 14.56.54.520,STANDARD
74,2024-03-25 14.56.56.020,STANDARD
75,2024-03-25 14.56.57.521,STANDARD
76,2024-03-25 14.56.59.038,TARGET
77,2024-03-25 14.57.00.560,STANDARD
78,2024-03-25 14.57.02.076,STANDARD
79,2024-03-25 14.57.03.597,TARGET
80,2024-03-25 14.57.05.121,STANDARD
81,2024-03-25 14.57.06.632,STANDARD
82,2024-03-25 14.57.08.160,STANDARD
83,2024-03-25 14.57.09.688,STANDARD
84,2024-03-25 14.57.11.211,STANDARD
85,2024-03-25 14.57.12.739,STANDARD
86,2024-03-25 14.57.14.265,STANDARD
87,2024-03-25 14.57.15.767,TARGET
88,2024-03-25 14.57.17.280,STANDARD
89,2024-03-25 14.57.18.795,TARGET
90,2024-03-25 14.57.20.311,STANDARD
91,2024-03-25 14.57.21.814,STANDARD
92,2024-03-25 14.57.23.325,STANDARD
93,2024-03-25 14.57.24.838,STANDARD
94,2024-03-25 14.57.26.361,TARGET
95,2024-03-25 14.57.27.885,STANDARD
96,2024-03-25 14.57.29.414,TARGET
97,2024-03-25 14.57.30.944,STANDARD
98,2024-03-25 14.57.32.460,STANDARD
99,2024-03-25 14.57.33.977,STANDARD
100,2024-03-25 14.57.35.501,STANDARD
101,2024-03-25 14.57.37.015,END
