,datetimes,events
0,2024-02-23 11.06.07.077,START
1,2024-02-23 11.06.12.077,STANDARD
2,2024-02-23 11.06.13.094,TARGET
3,2024-02-23 11.06.13.589,KEY PRESS
4,2024-02-23 11.06.14.617,STANDARD
5,2024-02-23 11.06.16.133,TARGET
6,2024-02-23 11.06.16.579,KEY PRESS
7,2024-02-23 11.06.17.652,STANDARD
8,2024-02-23 11.06.19.171,STANDARD
9,2024-02-23 11.06.20.681,STANDARD
10,2024-02-23 11.06.22.201,STANDARD
11,2024-02-23 11.06.23.721,STANDARD
12,2024-02-23 11.06.25.236,STANDARD
13,2024-02-23 11.06.26.758,STANDARD
14,2024-02-23 11.06.28.282,STANDARD
15,2024-02-23 11.06.29.792,STANDARD
16,2024-02-23 11.06.31.320,STANDARD
17,2024-02-23 11.06.32.836,STANDARD
18,2024-02-23 11.06.34.349,TARGET
19,2024-02-23 11.06.34.814,KEY PRESS
20,2024-02-23 11.06.35.861,TARGET
21,2024-02-23 11.06.36.312,KEY PRESS
22,2024-02-23 11.06.37.371,STANDARD
23,2024-02-23 11.06.38.888,STANDARD
24,2024-02-23 11.06.40.412,STANDARD
25,2024-02-23 11.06.41.925,STANDARD
26,2024-02-23 11.06.43.435,STANDARD
27,2024-02-23 11.06.44.951,STANDARD
28,2024-02-23 11.06.46.474,STANDARD
29,2024-02-23 11.06.47.999,TARGET
30,2024-02-23 11.06.48.513,KEY PRESS
31,2024-02-23 11.06.49.527,TARGET
32,2024-02-23 11.06.50.010,KEY PRESS
33,2024-02-23 11.06.51.038,STANDARD
34,2024-02-23 11.06.52.556,STANDARD
35,2024-02-23 11.06.54.081,STANDARD
36,2024-02-23 11.06.55.597,STANDARD
37,2024-02-23 11.06.57.100,STANDARD
38,2024-02-23 11.06.58.625,STANDARD
39,2024-02-23 11.07.00.136,STANDARD
40,2024-02-23 11.07.01.636,STANDARD
41,2024-02-23 11.07.03.157,STANDARD
42,2024-02-23 11.07.04.679,STANDARD
43,2024-02-23 11.07.06.191,TARGET
44,2024-02-23 11.07.06.591,KEY PRESS
45,2024-02-23 11.07.07.705,TARGET
46,2024-02-23 11.07.08.107,KEY PRESS
47,2024-02-23 11.07.09.216,STANDARD
48,2024-02-23 11.07.10.744,STANDARD
49,2024-02-23 11.07.12.273,STANDARD
50,2024-02-23 11.07.13.786,TARGET
51,2024-02-23 11.07.14.284,KEY PRESS
52,2024-02-23 11.07.15.313,STANDARD
53,2024-02-23 11.07.16.838,STANDARD
54,2024-02-23 11.07.18.366,STANDARD
55,2024-02-23 11.07.19.895,TARGET
56,2024-02-23 11.07.20.398,KEY PRESS
57,2024-02-23 11.07.21.409,STANDARD
58,2024-02-23 11.07.22.922,STANDARD
59,2024-02-23 11.07.24.436,STANDARD
60,2024-02-23 11.07.25.963,STANDARD
61,2024-02-23 11.07.27.493,STANDARD
62,2024-02-23 11.07.29.003,STANDARD
63,2024-02-23 11.07.30.531,STANDARD
64,2024-02-23 11.07.32.055,TARGET
65,2024-02-23 11.07.32.504,KEY PRESS
66,2024-02-23 11.07.33.570,STANDARD
67,2024-02-23 11.07.35.099,TARGET
68,2024-02-23 11.07.35.531,KEY PRESS
69,2024-02-23 11.07.36.617,STANDARD
70,2024-02-23 11.07.38.147,STANDARD
71,2024-02-23 11.07.39.649,STANDARD
72,2024-02-23 11.07.41.173,STANDARD
73,2024-02-23 11.07.42.687,STANDARD
74,2024-02-23 11.07.44.203,TARGET
75,2024-02-23 11.07.44.649,KEY PRESS
76,2024-02-23 11.07.45.726,STANDARD
77,2024-02-23 11.07.47.243,STANDARD
78,2024-02-23 11.07.48.771,STANDARD
79,2024-02-23 11.07.50.297,STANDARD
80,2024-02-23 11.07.51.818,TARGET
81,2024-02-23 11.07.52.270,KEY PRESS
82,2024-02-23 11.07.53.335,STANDARD
83,2024-02-23 11.07.54.853,STANDARD
84,2024-02-23 11.07.56.384,STANDARD
85,2024-02-23 11.07.57.893,STANDARD
86,2024-02-23 11.07.59.414,TARGET
87,2024-02-23 11.07.59.879,KEY PRESS
88,2024-02-23 11.08.00.939,STANDARD
