,datetimes,events
0,2024-02-23 12.14.16.826,START
1,2024-02-23 12.14.21.825,STANDARD
2,2024-02-23 12.14.22.845,STANDARD
3,2024-02-23 12.14.24.345,TARGET
4,2024-02-23 12.14.24.830,KEY PRESS
5,2024-02-23 12.14.25.859,STANDARD
6,2024-02-23 12.14.27.374,STANDARD
7,2024-02-23 12.14.28.888,STANDARD
8,2024-02-23 12.14.30.398,STANDARD
9,2024-02-23 12.14.31.923,TARGET
10,2024-02-23 12.14.32.422,KEY PRESS
11,2024-02-23 12.14.33.450,STANDARD
12,2024-02-23 12.14.34.974,STANDARD
13,2024-02-23 12.14.36.491,STANDARD
14,2024-02-23 12.14.38.008,TARGET
15,2024-02-23 12.14.38.504,KEY PRESS
16,2024-02-23 12.14.39.531,STANDARD
17,2024-02-23 12.14.41.043,TARGET
18,2024-02-23 12.14.41.555,KEY PRESS
19,2024-02-23 12.14.42.561,STANDARD
20,2024-02-23 12.14.44.087,STANDARD
21,2024-02-23 12.14.45.602,STANDARD
22,2024-02-23 12.14.47.131,STANDARD
23,2024-02-23 12.14.48.657,STANDARD
24,2024-02-23 12.14.50.184,STANDARD
25,2024-02-23 12.14.51.709,STANDARD
26,2024-02-23 12.14.53.235,TARGET
27,2024-02-23 12.14.53.699,KEY PRESS
28,2024-02-23 12.14.54.749,STANDARD
29,2024-02-23 12.14.56.279,TARGET
30,2024-02-23 12.14.56.759,KEY PRESS
31,2024-02-23 12.14.57.802,STANDARD
32,2024-02-23 12.14.59.329,STANDARD
33,2024-02-23 12.15.00.844,STANDARD
34,2024-02-23 12.15.02.373,STANDARD
35,2024-02-23 12.15.03.896,STANDARD
36,2024-02-23 12.15.05.414,STANDARD
37,2024-02-23 12.15.06.924,STANDARD
38,2024-02-23 12.15.08.441,STANDARD
39,2024-02-23 12.15.09.967,TARGET
40,2024-02-23 12.15.10.445,KEY PRESS
41,2024-02-23 12.15.11.486,STANDARD
42,2024-02-23 12.15.13.010,STANDARD
43,2024-02-23 12.15.14.537,STANDARD
44,2024-02-23 12.15.16.051,STANDARD
45,2024-02-23 12.15.17.577,TARGET
46,2024-02-23 12.15.18.093,KEY PRESS
47,2024-02-23 12.15.19.104,STANDARD
48,2024-02-23 12.15.20.618,STANDARD
49,2024-02-23 12.15.22.144,STANDARD
50,2024-02-23 12.15.23.674,STANDARD
51,2024-02-23 12.15.25.201,STANDARD
52,2024-02-23 12.15.26.719,STANDARD
53,2024-02-23 12.15.28.246,TARGET
54,2024-02-23 12.15.28.790,KEY PRESS
55,2024-02-23 12.15.29.763,STANDARD
56,2024-02-23 12.15.31.292,STANDARD
57,2024-02-23 12.15.32.816,TARGET
58,2024-02-23 12.15.33.318,KEY PRESS
59,2024-02-23 12.15.34.325,STANDARD
60,2024-02-23 12.15.35.840,STANDARD
61,2024-02-23 12.15.37.356,STANDARD
62,2024-02-23 12.15.38.883,STANDARD
63,2024-02-23 12.15.40.409,STANDARD
64,2024-02-23 12.15.41.936,TARGET
65,2024-02-23 12.15.42.415,KEY PRESS
66,2024-02-23 12.15.43.449,STANDARD
67,2024-02-23 12.15.44.974,TARGET
68,2024-02-23 12.15.45.507,KEY PRESS
69,2024-02-23 12.15.46.486,STANDARD
70,2024-02-23 12.15.48.014,STANDARD
71,2024-02-23 12.15.49.543,STANDARD
72,2024-02-23 12.15.51.071,STANDARD
73,2024-02-23 12.15.52.596,STANDARD
74,2024-02-23 12.15.54.121,STANDARD
75,2024-02-23 12.15.55.648,STANDARD
76,2024-02-23 12.15.57.177,STANDARD
77,2024-02-23 12.15.58.689,STANDARD
78,2024-02-23 12.16.00.190,STANDARD
79,2024-02-23 12.16.01.703,STANDARD
80,2024-02-23 12.16.03.231,TARGET
81,2024-02-23 12.16.03.630,KEY PRESS
82,2024-02-23 12.16.04.761,STANDARD
83,2024-02-23 12.16.06.283,TARGET
84,2024-02-23 12.16.06.816,KEY PRESS
85,2024-02-23 12.16.07.798,STANDARD
86,2024-02-23 12.16.09.313,STANDARD
87,2024-02-23 12.16.10.842,STANDARD
88,2024-02-23 12.16.12.369,STANDARD
89,2024-02-23 12.16.13.885,STANDARD
90,2024-02-23 12.16.15.414,TARGET
91,2024-02-23 12.16.15.911,KEY PRESS
92,2024-02-23 12.16.16.937,STANDARD
93,2024-02-23 12.16.18.451,STANDARD
94,2024-02-23 12.16.19.965,STANDARD
95,2024-02-23 12.16.21.492,TARGET
96,2024-02-23 12.16.22.038,KEY PRESS
97,2024-02-23 12.16.23.016,STANDARD
98,2024-02-23 12.16.24.540,STANDARD
99,2024-02-23 12.16.26.057,STANDARD
100,2024-02-23 12.16.27.560,STANDARD
101,2024-02-23 12.16.29.080,STANDARD
102,2024-02-23 12.16.30.608,STANDARD
103,2024-02-23 12.16.32.137,STANDARD
104,2024-02-23 12.16.33.663,STANDARD
105,2024-02-23 12.16.35.176,TARGET
106,2024-02-23 12.16.35.591,KEY PRESS
107,2024-02-23 12.16.36.704,TARGET
108,2024-02-23 12.16.37.222,KEY PRESS
109,2024-02-23 12.16.38.204,STANDARD
110,2024-02-23 12.16.39.726,STANDARD
111,2024-02-23 12.16.41.244,STANDARD
112,2024-02-23 12.16.42.773,STANDARD
113,2024-02-23 12.16.44.286,STANDARD
114,2024-02-23 12.16.45.812,TARGET
115,2024-02-23 12.16.46.313,KEY PRESS
116,2024-02-23 12.16.47.323,STANDARD
117,2024-02-23 12.16.48.853,STANDARD
118,2024-02-23 12.16.50.369,STANDARD
119,2024-02-23 12.16.51.883,TARGET
120,2024-02-23 12.16.52.315,KEY PRESS
121,2024-02-23 12.16.53.409,END
