,datetimes,events
0,2024-02-27 11.57.01.042,START
1,2024-02-27 11.57.06.042,STANDARD
2,2024-02-27 11.57.07.063,TARGET
3,2024-02-27 11.57.07.677,KEY PRESS
4,2024-02-27 11.57.08.584,STANDARD
5,2024-02-27 11.57.10.108,STANDARD
6,2024-02-27 11.57.11.639,STANDARD
7,2024-02-27 11.57.13.139,TARGET
8,2024-02-27 11.57.13.602,KEY PRESS
9,2024-02-27 11.57.14.667,STANDARD
10,2024-02-27 11.57.16.189,STANDARD
11,2024-02-27 11.57.17.718,STANDARD
12,2024-02-27 11.57.19.243,STANDARD
13,2024-02-27 11.57.20.771,STANDARD
14,2024-02-27 11.57.22.285,STANDARD
15,2024-02-27 11.57.23.809,STANDARD
16,2024-02-27 11.57.25.339,STANDARD
17,2024-02-27 11.57.26.865,STANDARD
18,2024-02-27 11.57.28.391,STANDARD
19,2024-02-27 11.57.29.920,TARGET
20,2024-02-27 11.57.30.400,KEY PRESS
21,2024-02-27 11.57.31.445,STANDARD
22,2024-02-27 11.57.32.970,TARGET
23,2024-02-27 11.57.33.536,KEY PRESS
24,2024-02-27 11.57.34.484,STANDARD
25,2024-02-27 11.57.35.998,TARGET
26,2024-02-27 11.57.36.549,KEY PRESS
27,2024-02-27 11.57.37.513,STANDARD
28,2024-02-27 11.57.39.044,STANDARD
29,2024-02-27 11.57.40.567,STANDARD
30,2024-02-27 11.57.42.082,STANDARD
31,2024-02-27 11.57.43.608,TARGET
32,2024-02-27 11.57.44.196,KEY PRESS
33,2024-02-27 11.57.45.113,STANDARD
34,2024-02-27 11.57.46.640,STANDARD
35,2024-02-27 11.57.48.161,STANDARD
36,2024-02-27 11.57.49.686,STANDARD
37,2024-02-27 11.57.51.194,TARGET
38,2024-02-27 11.57.51.708,KEY PRESS
39,2024-02-27 11.57.52.717,STANDARD
40,2024-02-27 11.57.54.238,STANDARD
41,2024-02-27 11.57.55.766,STANDARD
42,2024-02-27 11.57.57.280,TARGET
43,2024-02-27 11.57.57.927,KEY PRESS
44,2024-02-27 11.57.58.810,STANDARD
45,2024-02-27 11.58.00.340,STANDARD
46,2024-02-27 11.58.01.860,STANDARD
47,2024-02-27 11.58.03.385,STANDARD
48,2024-02-27 11.58.04.914,STANDARD
49,2024-02-27 11.58.06.439,TARGET
50,2024-02-27 11.58.06.940,KEY PRESS
51,2024-02-27 11.58.07.939,STANDARD
52,2024-02-27 11.58.09.465,STANDARD
53,2024-02-27 11.58.10.992,STANDARD
54,2024-02-27 11.58.12.520,STANDARD
55,2024-02-27 11.58.14.028,STANDARD
56,2024-02-27 11.58.15.556,STANDARD
57,2024-02-27 11.58.17.057,STANDARD
58,2024-02-27 11.58.18.586,TARGET
59,2024-02-27 11.58.19.038,KEY PRESS
60,2024-02-27 11.58.20.100,STANDARD
61,2024-02-27 11.58.21.613,STANDARD
62,2024-02-27 11.58.23.126,STANDARD
63,2024-02-27 11.58.24.655,STANDARD
64,2024-02-27 11.58.26.179,STANDARD
65,2024-02-27 11.58.27.690,TARGET
66,2024-02-27 11.58.28.171,KEY PRESS
67,2024-02-27 11.58.29.215,STANDARD
68,2024-02-27 11.58.30.735,TARGET
69,2024-02-27 11.58.31.448,KEY PRESS
