datetime,sample,chnl-1-raw,chnl-2-raw,chnl-3-raw,action
2024-02-27 11.57.01.044,1550.0,-324.50244140625,57.641151428222656,868.2997436523438,
2024-02-27 11.57.01.049,1551.0,-255.78610229492188,18.27234649658203,679.6403198242188,
2024-02-27 11.57.01.054,1552.0,-146.827392578125,-20.720382690429688,443.0416259765625,
2024-02-27 11.57.01.059,1553.0,-22.374168395996094,-51.2860221862793,209.07080078125,
2024-02-27 11.57.01.064,1554.0,85.92839050292969,-70.70624542236328,18.983612060546875,
2024-02-27 11.57.01.068,1555.0,152.00828552246094,-85.21841430664062,-106.10218811035156,
2024-02-27 11.57.01.074,1556.0,166.2160186767578,-97.07009887695312,-174.17617797851562,
2024-02-27 11.57.01.079,1557.0,138.57748413085938,-104.1058349609375,-208.65838623046875,
2024-02-27 11.57.01.084,1558.0,92.96841430664062,-103.65066528320312,-239.0204620361328,
2024-02-27 11.57.01.089,1559.0,55.18091583251953,-92.983642578125,-289.0107421875,
2024-02-27 11.57.01.091,1560.0,42.172340393066406,-77.1282958984375,-363.7075805664063,
2024-02-27 11.57.01.098,1561.0,55.87905883789063,-63.91395568847656,-453.3271789550781,
2024-02-27 11.57.01.103,1562.0,85.21165466308594,-62.18769073486328,-533.4876098632812,
2024-02-27 11.57.01.108,1563.0,113.87613677978516,-77.21974182128906,-578.7400512695312,
2024-02-27 11.57.01.113,1564.0,129.39166259765625,-103.70187377929688,-571.6101684570312,
2024-02-27 11.57.01.116,1565.0,128.3332061767578,-124.55043029785156,-502.3851013183594,
2024-02-27 11.57.01.123,1566.0,116.08139038085938,-119.76783752441406,-377.2697143554688,
2024-02-27 11.57.01.127,1567.0,101.05118560791016,-76.63261413574219,-215.4961395263672,
2024-02-27 11.57.01.132,1568.0,88.1736831665039,8.875465393066406,-40.23775100708008,
2024-02-27 11.57.01.137,1569.0,73.46147155761719,120.42366027832033,125.2181396484375,
2024-02-27 11.57.01.140,1570.0,46.59347152709961,231.2943420410156,265.6271667480469,
2024-02-27 11.57.01.147,1571.0,-1.9255523681640625,313.1466369628906,370.8869934082031,
2024-02-27 11.57.01.152,1572.0,-72.9189224243164,348.1335754394531,440.062744140625,
2024-02-27 11.57.01.157,1573.0,-153.63760375976562,333.7195129394531,480.649658203125,
2024-02-27 11.57.01.162,1574.0,-220.10641479492188,287.35919189453125,496.5587158203125,
2024-02-27 11.57.01.165,1575.0,-246.7418365478516,233.76390075683597,491.357666015625,
2024-02-27 11.57.01.171,1576.0,-217.82220458984372,193.49066162109372,466.2423400878906,
2024-02-27 11.57.01.177,1577.0,-135.14767456054688,178.08538818359375,420.0913391113281,
2024-02-27 11.57.01.181,1578.0,-18.662250518798828,181.85797119140625,347.69049072265625,
2024-02-27 11.57.01.186,1579.0,100.3150634765625,185.99246215820312,246.8254852294922,
2024-02-27 11.57.01.189,1580.0,190.7789306640625,170.66490173339844,120.82731628417967,
2024-02-27 11.57.01.195,1581.0,233.4151611328125,124.4570770263672,-21.23883056640625,
2024-02-27 11.57.01.199,1582.0,226.1268768310547,46.15372467041016,-162.98013305664062,
2024-02-27 11.57.01.205,1583.0,182.1572265625,-49.052513122558594,-286.8105773925781,
2024-02-27 11.57.01.210,1584.0,122.33627319335938,-145.0703125,-376.545166015625,
2024-02-27 11.57.01.213,1585.0,65.06398010253906,-225.8903350830078,-422.5494384765625,
2024-02-27 11.57.01.220,1586.0,19.799850463867188,-283.7919311523437,-424.4891662597656,
2024-02-27 11.57.01.224,1587.0,-14.31793212890625,-321.910888671875,-388.110107421875,
2024-02-27 11.57.01.228,1588.0,-43.20930480957031,-341.5458984375,-324.6297607421875,
2024-02-27 11.57.01.234,1589.0,-71.10981750488281,-341.2530212402344,-241.70755004882807,
2024-02-27 11.57.01.238,1590.0,-95.8391342163086,-316.62115478515625,-146.6107940673828,
2024-02-27 11.57.01.244,1591.0,-108.77024841308594,-259.6640625,-43.80999374389648,
2024-02-27 11.57.01.249,1592.0,-99.4264907836914,-164.39898681640625,66.50466918945312,
2024-02-27 11.57.01.254,1593.0,-63.35714340209961,-39.98064422607422,179.05276489257812,
2024-02-27 11.57.01.258,1594.0,-5.759605407714844,94.19303131103516,284.03973388671875,
2024-02-27 11.57.01.262,1595.0,59.16887283325195,209.19805908203125,369.1054382324219,
2024-02-27 11.57.01.268,1596.0,113.5180206298828,276.4228515625,419.6559448242188,
2024-02-27 11.57.01.273,1597.0,143.7235870361328,283.9583435058594,428.40045166015625,
2024-02-27 11.57.01.278,1598.0,146.88604736328125,237.14718627929688,394.6596984863281,
2024-02-27 11.57.01.283,1599.0,131.38912963867188,160.67633056640625,328.3742370605469,
2024-02-27 11.57.01.286,1600.0,111.4910888671875,88.74322509765625,248.1100311279297,
2024-02-27 11.57.01.292,1601.0,98.45591735839844,49.43510818481445,170.1316680908203,
2024-02-27 11.57.01.297,1602.0,93.88752746582033,49.00157165527344,104.58950805664062,
2024-02-27 11.57.01.302,1603.0,87.96599578857422,75.34382629394531,53.31078338623047,
2024-02-27 11.57.01.307,1604.0,65.68075561523438,97.95225524902344,9.44478988647461,
2024-02-27 11.57.01.310,1605.0,16.52533721923828,83.991943359375,-38.830814361572266,
2024-02-27 11.57.01.317,1606.0,-57.71342468261719,16.524559020996094,-100.93983459472656,
2024-02-27 11.57.01.321,1607.0,-140.65577697753906,-99.79190826416016,-177.67498779296875,
2024-02-27 11.57.01.326,1608.0,-206.1429901123047,-234.76617431640625,-262.2274475097656,
2024-02-27 11.57.01.331,1609.0,-229.46934509277344,-346.43212890625,-342.0355224609375,
2024-02-27 11.57.01.335,1610.0,-198.75169372558597,-396.8631591796875,-407.0265502929688,
2024-02-27 11.57.01.341,1611.0,-121.14492797851562,-366.4954223632813,-448.4376220703125,
2024-02-27 11.57.01.346,1612.0,-20.669715881347656,-263.3411560058594,-464.6868896484375,
2024-02-27 11.57.01.351,1613.0,71.45368957519531,-115.9072723388672,-459.517578125,
2024-02-27 11.57.01.355,1614.0,130.34959411621094,39.00283432006836,-434.0806884765625,
