,datetimes,events
0,2024-02-27 15.14.37.381,START
1,2024-02-27 15.14.42.382,TARGET
2,2024-02-27 15.14.43.398,STANDARD
3,2024-02-27 15.14.44.927,STANDARD
4,2024-02-27 15.14.46.454,STANDARD
5,2024-02-27 15.14.47.985,STANDARD
6,2024-02-27 15.14.49.513,STANDARD
7,2024-02-27 15.14.51.023,STANDARD
8,2024-02-27 15.14.52.552,TARGET
9,2024-02-27 15.14.53.022,KEY PRESS
10,2024-02-27 15.14.54.067,STANDARD
11,2024-02-27 15.14.55.599,STANDARD
12,2024-02-27 15.14.57.131,TARGET
13,2024-02-27 15.14.57.594,KEY PRESS
14,2024-02-27 15.14.58.655,STANDARD
15,2024-02-27 15.15.00.167,STANDARD
16,2024-02-27 15.15.01.682,STANDARD
17,2024-02-27 15.15.03.209,TARGET
18,2024-02-27 15.15.03.623,KEY PRESS
19,2024-02-27 15.15.04.735,STANDARD
20,2024-02-27 15.15.06.262,STANDARD
21,2024-02-27 15.15.07.787,STANDARD
22,2024-02-27 15.15.09.301,STANDARD
23,2024-02-27 15.15.10.828,STANDARD
24,2024-02-27 15.15.12.344,TARGET
25,2024-02-27 15.15.12.729,KEY PRESS
26,2024-02-27 15.15.13.860,STANDARD
27,2024-02-27 15.15.15.376,STANDARD
28,2024-02-27 15.15.16.903,STANDARD
29,2024-02-27 15.15.18.431,STANDARD
30,2024-02-27 15.15.19.945,STANDARD
31,2024-02-27 15.15.21.462,TARGET
32,2024-02-27 15.15.21.861,KEY PRESS
33,2024-02-27 15.15.22.983,STANDARD
34,2024-02-27 15.15.24.505,STANDARD
35,2024-02-27 15.15.26.030,STANDARD
36,2024-02-27 15.15.27.545,STANDARD
37,2024-02-27 15.15.29.060,TARGET
38,2024-02-27 15.15.29.461,KEY PRESS
39,2024-02-27 15.15.30.585,TARGET
40,2024-02-27 15.15.31.089,KEY PRESS
41,2024-02-27 15.15.32.104,STANDARD
42,2024-02-27 15.15.33.614,STANDARD
43,2024-02-27 15.15.35.138,STANDARD
44,2024-02-27 15.15.36.663,STANDARD
45,2024-02-27 15.15.38.172,STANDARD
46,2024-02-27 15.15.39.686,STANDARD
47,2024-02-27 15.15.41.201,STANDARD
48,2024-02-27 15.15.42.724,STANDARD
49,2024-02-27 15.15.44.237,STANDARD
50,2024-02-27 15.15.45.754,STANDARD
51,2024-02-27 15.15.47.281,STANDARD
52,2024-02-27 15.15.48.812,STANDARD
53,2024-02-27 15.15.50.334,STANDARD
54,2024-02-27 15.15.51.862,TARGET
55,2024-02-27 15.15.52.342,KEY PRESS
56,2024-02-27 15.15.53.385,TARGET
57,2024-02-27 15.15.53.901,KEY PRESS
58,2024-02-27 15.15.54.910,STANDARD
59,2024-02-27 15.15.56.425,STANDARD
60,2024-02-27 15.15.57.926,STANDARD
